video,total_frames,usable_frames,quality_percent,status,left_hip_visibility_mean,right_hip_visibility_mean,left_knee_visibility_mean,right_knee_visibility_mean,left_ankle_visibility_mean,right_ankle_visibility_mean
IMG_6834,454,308,67.84140969162996,POOR,0.9987254380792766,0.9970533822651033,0.9479500359141981,0.6237559924265007,0.9618964293947467,0.7687875845215537
IMG_6835,562,351,62.455516014234874,POOR,0.9993949478168433,0.9983133279699885,0.9662871243607285,0.6593580008232356,0.985826576876844,0.8343158917888956
IMG_6836,247,247,100.0,GOOD,0.9997903234080264,0.9998424588909999,0.9878036169870662,0.9803251139065514,0.973002811916444,0.9617337847528188
IMG_6839,347,347,100.0,GOOD,0.9998005405283111,0.9998008035101876,0.9789739833441523,0.972834926689049,0.9495019237658476,0.9045947034352108
IMG_6840,572,438,76.57342657342657,ACCEPTABLE,0.9980314715540028,0.9960624330664334,0.8138003737142642,0.35697181339133277,0.8675011444037364,0.5290506316782677
IMG_6841,555,555,100.0,GOOD,0.9915031501838752,0.9888035188924085,0.8830629708530666,0.8480627595841348,0.7610043756294627,0.7167378649887469
IMG_6843,597,381,63.81909547738694,POOR,0.9994409124995154,0.998694081318973,0.9801412162192538,0.7318435144706035,0.9860919092896729,0.8723193014387697
IMG_6845,467,467,100.0,GOOD,0.9994597189942059,0.9995269471623913,0.9873667631210555,0.9817743004006543,0.9554100653088833,0.9461630002078969
