feature,normal_mean,variation_mean,normal_median,variation_median,normal_std,variation_std,participant_count,mean_difference
duration_seconds,7.2796,,7.769,,2.317548661840782,,1,
usable_frame_percent,95.3146853146853,,100.0,,10.476682132341672,,1,
step_count,5.6,,5.0,,2.701851217221259,,1,
cadence,49.54452608357191,,62.402496099844,,23.21208822927538,,1,
mean_step_time,1.0285695238095243,,0.8838000000000001,,0.6411684407438467,,1,
step_time_std,0.4001844131100613,,0.4801856600335531,,0.23479885962499486,,1,
step_time_variability,37.34990440214127,,39.47342415994967,,25.8950645823425,,1,
left_mean_step_time,1.31095,,1.473,,0.5163673716454205,,1,
right_mean_step_time,1.22675,,1.21525,,0.507653178853437,,1,
step_symmetry_ratio,0.8103105707243728,,0.7947776170638925,,0.1001703841783017,,1,
timing_asymmetry_percent,21.453634970418825,,22.869315164679357,,11.988889193928474,,1,
left_knee_range,40.58829594109021,,46.9972215037011,,9.810996325640748,,1,
right_knee_range,44.04605040752475,,41.15370629447472,,12.473257685764246,,1,
knee_range_asymmetry_percent,37.0423987354166,,42.1422006664257,,10.178557782475085,,1,
left_arm_swing_proxy,0.0032983197656056805,,0.0032036977317723,,0.0014816043532515932,,1,
right_arm_swing_proxy,0.0038824106359148605,,0.0023253935080037,,0.0028962093066492076,,1,
arm_swing_asymmetry,21.40332565853074,,14.249251456560188,,17.631571549199247,,1,
hip_center_lateral_sway_proxy,0.0672412177209321,,0.0151666930894342,,0.10152481106940346,,1,
