frame,timestamp,landmark_id,landmark_name,x,y,z,visibility,presence
117,1.95,-1,NO_POSE,,,,0.0,0.0
118,1.967,-1,NO_POSE,,,,0.0,0.0
119,1.984,-1,NO_POSE,,,,0.0,0.0
120,2.001,-1,NO_POSE,,,,0.0,0.0
121,2.017,-1,NO_POSE,,,,0.0,0.0
122,2.034,-1,NO_POSE,,,,0.0,0.0
123,2.051,-1,NO_POSE,,,,0.0,0.0
124,2.067,-1,NO_POSE,,,,0.0,0.0
125,2.084,-1,NO_POSE,,,,0.0,0.0
126,2.101,-1,NO_POSE,,,,0.0,0.0
127,2.117,-1,NO_POSE,,,,0.0,0.0
128,2.134,-1,NO_POSE,,,,0.0,0.0
129,2.151,-1,NO_POSE,,,,0.0,0.0
130,2.167,-1,NO_POSE,,,,0.0,0.0
131,2.184,-1,NO_POSE,,,,0.0,0.0
132,2.201,-1,NO_POSE,,,,0.0,0.0
133,2.217,-1,NO_POSE,,,,0.0,0.0
134,2.234,-1,NO_POSE,,,,0.0,0.0
135,2.251,-1,NO_POSE,,,,0.0,0.0
136,2.267,-1,NO_POSE,,,,0.0,0.0
137,2.284,-1,NO_POSE,,,,0.0,0.0
138,2.301,-1,NO_POSE,,,,0.0,0.0
139,2.317,-1,NO_POSE,,,,0.0,0.0
140,2.334,-1,NO_POSE,,,,0.0,0.0
141,2.351,-1,NO_POSE,,,,0.0,0.0
142,2.367,-1,NO_POSE,,,,0.0,0.0
143,2.384,-1,NO_POSE,,,,0.0,0.0
144,2.401,-1,NO_POSE,,,,0.0,0.0
145,2.417,-1,NO_POSE,,,,0.0,0.0
146,2.434,-1,NO_POSE,,,,0.0,0.0
147,2.451,-1,NO_POSE,,,,0.0,0.0
148,2.467,-1,NO_POSE,,,,0.0,0.0
149,2.484,-1,NO_POSE,,,,0.0,0.0
150,2.501,-1,NO_POSE,,,,0.0,0.0
151,2.517,-1,NO_POSE,,,,0.0,0.0
152,2.534,-1,NO_POSE,,,,0.0,0.0
153,2.551,-1,NO_POSE,,,,0.0,0.0
154,2.567,-1,NO_POSE,,,,0.0,0.0
155,2.584,-1,NO_POSE,,,,0.0,0.0
156,2.601,-1,NO_POSE,,,,0.0,0.0
157,2.617,-1,NO_POSE,,,,0.0,0.0
158,2.634,-1,NO_POSE,,,,0.0,0.0
159,2.651,-1,NO_POSE,,,,0.0,0.0
160,2.668,-1,NO_POSE,,,,0.0,0.0
161,2.684,-1,NO_POSE,,,,0.0,0.0
162,2.701,-1,NO_POSE,,,,0.0,0.0
163,2.718,-1,NO_POSE,,,,0.0,0.0
164,2.734,-1,NO_POSE,,,,0.0,0.0
165,2.751,-1,NO_POSE,,,,0.0,0.0
166,2.768,-1,NO_POSE,,,,0.0,0.0
167,2.784,-1,NO_POSE,,,,0.0,0.0
168,2.801,-1,NO_POSE,,,,0.0,0.0
169,2.818,-1,NO_POSE,,,,0.0,0.0
170,2.834,-1,NO_POSE,,,,0.0,0.0
171,2.851,-1,NO_POSE,,,,0.0,0.0
172,2.868,-1,NO_POSE,,,,0.0,0.0
173,2.884,-1,NO_POSE,,,,0.0,0.0
174,2.901,0,NOSE,0.9279239064171201,0.3042985882077898,-0.10971017004478538,0.9758583307266236,0.9584052562713624
174,2.901,1,LEFT_EYE_INNER,0.9296246227763946,0.28774223512127284,-0.1252173254532473,0.9627148509025574,0.9570047855377196
174,2.901,2,LEFT_EYE,0.9313483578818181,0.2858774967136838,-0.12530842192825808,0.968457579612732,0.9586418271064758
174,2.901,3,LEFT_EYE_OUTER,0.9333243171374,0.28363975882530196,-0.1253766490235215,0.9726176261901855,0.9599180817604064
174,2.901,4,RIGHT_EYE_INNER,0.9273871963932402,0.28943067789077753,-0.09907565461028192,0.9499217867851256,0.9552534818649292
174,2.901,5,RIGHT_EYE,0.9276000076816191,0.28903736316022416,-0.09907122186961627,0.9467079639434814,0.9536271691322328
174,2.901,6,RIGHT_EYE_OUTER,0.9279641012350723,0.2883446216583251,-0.0991673137815225,0.9427167773246764,0.9527363181114196
174,2.901,7,LEFT_EAR,0.947309052660351,0.2765732953945795,-0.1567036236325899,0.9824742674827576,0.9728336930274964
174,2.901,8,RIGHT_EAR,0.9407552835487183,0.2816041388681955,-0.036417439358220165,0.8976857662200928,0.9576926231384276
174,2.901,9,MOUTH_LEFT,0.9357109013057883,0.31079082120032525,-0.11757759324141909,0.9816942811012268,0.9804988503456116
174,2.901,10,MOUTH_RIGHT,0.9333248479025702,0.3123081191664649,-0.08294185401783105,0.9451715350151062,0.9662224650382996
174,2.901,11,LEFT_SHOULDER,0.9898506232670374,0.3372492932137989,-0.1927114153901735,0.9997637867927552,0.9977118968963624
174,2.901,12,RIGHT_SHOULDER,0.9501216808954873,0.3555965955768313,0.03904692793176278,0.9935417175292968,0.9874835014343262
174,2.901,13,LEFT_ELBOW,0.9843962192535393,0.447420780147825,-0.23029676966723941,0.9901356101036072,0.9968662858009338
174,2.901,14,RIGHT_ELBOW,0.9525609229292189,0.46003244320551545,0.08111174085310514,0.0728610157966613,0.9916822910308838
174,2.901,15,LEFT_WRIST,0.9345048524084545,0.5134126061484926,-0.2350408282308351,0.980137050151825,0.995923399925232
174,2.901,16,RIGHT_WRIST,0.9410103900091985,0.5227448585487545,0.02603127266324693,0.1089853420853614,0.953028917312622
174,2.901,17,LEFT_PINKY,0.9238894666944232,0.542388447693416,-0.26348303506771714,0.956434726715088,0.9916361570358276
174,2.901,18,RIGHT_PINKY,0.9329708701088316,0.5542913377285005,0.019614326457182453,0.1055915877223014,0.9417265057563782
174,2.901,19,LEFT_INDEX,0.9198025394053685,0.5334029140926544,-0.26106986616338995,0.9546526074409484,0.9926447868347168
174,2.901,20,RIGHT_INDEX,0.9301674678212118,0.5473438316867463,-0.0054804091230922294,0.1105581074953079,0.935044765472412
174,2.901,21,LEFT_THUMB,0.9234105277629127,0.5242424451169513,-0.23184453447659809,0.9188434481620787,0.9937332272529602
174,2.901,22,RIGHT_THUMB,0.9330276733353025,0.5396548580555685,0.013176231911139709,0.1171284541487693,0.936072051525116
174,2.901,23,LEFT_HIP,0.9888252289522262,0.5550830378418876,-0.054258379996532415,0.9938240051269532,0.9900041222572328
174,2.901,24,RIGHT_HIP,0.9530204378423237,0.5525048772493997,0.05427491886629937,0.9934725761413574,0.9906733632087708
174,2.901,25,LEFT_KNEE,1.002544242711294,0.7010046484924495,-0.038654473743268455,0.9650521874427797,0.9055970311164856
174,2.901,26,RIGHT_KNEE,0.929253654820578,0.6886886698859077,0.08689367788888155,0.9086106419563292,0.9498800039291382
174,2.901,27,LEFT_ANKLE,1.0282391366504489,0.7994727691014608,0.11964620686402257,0.8992103338241577,0.541248083114624
174,2.901,28,RIGHT_ANKLE,0.8967723974159784,0.8210231349581761,0.1768224689932096,0.9204108715057372,0.7942677736282349
174,2.901,29,LEFT_HEEL,1.0304904807181583,0.8136147047792163,0.13198092807128653,0.5985657572746277,0.4775708317756653
174,2.901,30,RIGHT_HEEL,0.899533666315533,0.8465367654959359,0.18248183493103293,0.7794967293739319,0.6565996408462524
174,2.901,31,LEFT_FOOT_INDEX,1.0248381225835705,0.8465491277830943,0.06624846630507972,0.8045849204063416,0.442432552576065
174,2.901,32,RIGHT_FOOT_INDEX,0.8597092642670584,0.8266022120203288,0.11740088462829586,0.8453670740127563,0.5692896842956543
175,2.918,0,NOSE,0.9268908372947147,0.30424203830105917,-0.10214070816125181,0.97609144449234,0.9767826199531556
